text,category,sentiment
人民广场站今天很安静 today,Noise,positive
Pudong Intl Airport is packed during rush hour today,Crowding,negative
静安寺站扶梯口推搡很危险 today,Safety,negative
镇坪路站今天很安静，影响通勤体验,Noise,positive
Shanghai Railway Stn feels unsafe at the platform during rush hour,Safety,negative
东方体育中心站有异味，环境太差 today,Cleanliness,negative
No clear station issue in this text,Other,neutral
汉中路站电梯坏了，很不方便 today,Accessibility,negative
宜山路站广播太响，噪音很大 today,Noise,negative
浦东机场站广播太响，噪音很大 for commuters,Noise,negative
Laoximen was on time today for commuters,Delay,positive
老西门站广播太响，噪音很大 for commuters,Noise,negative
Xinzhuang was not crowded today，请尽快处理,Crowding,positive
Hongkou Stadium elevator is broken and not accessible，影响通勤体验,Accessibility,negative
Hongkou Stadium has normal passenger flow today for commuters,Other,neutral
中山公园站今天客流正常,Other,neutral
上海火车站站无障碍通道不好找，请尽快处理,Accessibility,negative
Yishan Rd was not crowded today，影响通勤体验,Crowding,positive
镇坪路站地面有垃圾，卫生不好 for commuters,Cleanliness,negative
Shanghai Railway Stn has normal passenger flow today for commuters,Other,neutral
虹桥火车站站今天客流正常 during rush hour,Other,neutral
上海火车站站今天很准时 for commuters,Delay,positive
曹杨路站有异味，环境太差 during rush hour,Cleanliness,negative
虹口足球场站人多到挤不上车 today,Crowding,negative
曹杨路站无障碍通道不好找 today,Accessibility,negative
Longyang Road feels unsafe at the platform during rush hour,Safety,negative
虹桥火车站站人流组织不好，存在安全问题,Safety,negative
Jing'an Temple has normal passenger flow today,Other,neutral
上海火车站站今天人流顺畅 for commuters,Crowding,positive
Hailun Rd was not crowded today,Crowding,positive
江苏路站今天很安静 for commuters,Noise,positive
People's Square was quiet today today,Noise,positive
静安寺站有异味，环境太差，请尽快处理,Cleanliness,negative
江苏路站今天很安静,Noise,positive
Longyang Road is packed during rush hour today,Crowding,negative
宜山路站今天很安静 during rush hour,Noise,positive
陆家嘴站人流组织不好，存在安全问题 today,Safety,negative
老西门站今天很安静 during rush hour,Noise,positive
南京西路站秩序很好，很安全 during rush hour,Safety,positive
Caoyang Rd was on time today during rush hour,Delay,positive
Caoyang Rd was quiet today,Noise,positive
大世界站电梯坏了，很不方便 during rush hour,Accessibility,negative
南京东路站有异味，环境太差，影响通勤体验,Cleanliness,negative
常熟路站人多到挤不上车，请尽快处理,Crowding,negative
曹杨路站人流组织不好，存在安全问题，影响通勤体验,Safety,negative
Shanghai Railway Stn feels safe and well managed，请尽快处理,Safety,positive
宜山路站人多到挤不上车，影响通勤体验,Crowding,negative
Shanghai Railway Stn elevator is broken and not accessible,Accessibility,negative
Dashijie feels unsafe at the platform for commuters,Safety,negative
上海火车站站今天晚点太严重了,Delay,negative
汉中路站有一些乘客排队 during rush hour,Other,neutral
四平路站施工声音太吵，请尽快处理,Noise,negative
汉中路站今天很准时 today,Delay,positive
Zhongshan Park has convenient accessibility，请尽快处理,Accessibility,positive
陕西南路站今天很准时，请尽快处理,Delay,positive
汉中路站人流组织不好，存在安全问题 today,Safety,negative
Caoyang Rd is too noisy today for commuters,Noise,negative
汉中路站秩序很好，很安全，请尽快处理,Safety,positive
陆家嘴站人多到挤不上车，影响通勤体验,Crowding,negative
徐家汇站今天人流顺畅 during rush hour,Crowding,positive
浦东机场站地面有垃圾，卫生不好 today,Cleanliness,negative
Shaanxi S. Rd has convenient accessibility，影响通勤体验,Accessibility,positive
Century Avenue feels dirty today,Cleanliness,negative
虹口足球场站今天很准时，影响通勤体验,Delay,positive
汉中路站早高峰太挤了，影响通勤体验,Crowding,negative
Siping Rd feels safe and well managed,Safety,positive
静安寺站电梯方便，无障碍体验很好 during rush hour,Accessibility,positive
Hongkou Stadium feels safe and well managed for commuters,Safety,positive
Caoyang Rd feels unsafe at the platform,Safety,negative
这个地方今天体验一般,Other,neutral
South Shanghai Railway is too noisy today，请尽快处理,Noise,negative
Xinzhuang feels unsafe at the platform,Safety,negative
Nanjing Rd (E) was on time today for commuters,Delay,positive
Hanzhong Rd was not crowded today，请尽快处理,Crowding,positive
东方体育中心站人流组织不好，存在安全问题 for commuters,Safety,negative
Longyang Road is packed during rush hour during rush hour,Crowding,negative
Lujiazui is clean and comfortable today,Cleanliness,positive
海伦路站电梯坏了，很不方便 during rush hour,Accessibility,negative
Lujiazui has normal passenger flow today for commuters,Other,neutral
Jiangsu Rd has convenient accessibility,Accessibility,positive
Jing'an Temple has normal passenger flow today for commuters,Other,neutral
东方体育中心站施工声音太吵 for commuters,Noise,negative
陕西南路站无障碍通道不好找 for commuters,Accessibility,negative
豫园站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
Yishan Rd is packed during rush hour during rush hour,Crowding,negative
上海火车站站早高峰太挤了 today,Crowding,negative
虹口足球场站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
世纪大道站今天客流正常,Other,neutral
Laoximen was quiet today during rush hour,Noise,positive
中山公园站很干净，影响通勤体验,Cleanliness,positive
大世界站施工声音太吵，请尽快处理,Noise,negative
Yishan Rd feels safe and well managed today,Safety,positive
浦东机场站秩序很好，很安全 today,Safety,positive
Laoximen is too noisy today for commuters,Noise,negative
Shaanxi S. Rd has convenient accessibility，请尽快处理,Accessibility,positive
Zhongshan Park feels safe and well managed,Safety,positive
Xinzhuang was on time today,Delay,positive
虹桥火车站站今天晚点太严重了，影响通勤体验,Delay,negative
Hanzhong Rd was on time today,Delay,positive
Yu Garden feels safe and well managed for commuters,Safety,positive
静安寺站电梯方便，无障碍体验很好 for commuters,Accessibility,positive
老西门站秩序很好，很安全，请尽快处理,Safety,positive
宜山路站电梯方便，无障碍体验很好,Accessibility,positive
Laoximen feels unsafe at the platform today,Safety,negative
浦东机场站今天很安静 today,Noise,positive
Yu Garden is packed during rush hour during rush hour,Crowding,negative
南京西路站地面有垃圾，卫生不好，影响通勤体验,Cleanliness,negative
Shaanxi S. Rd was on time today，请尽快处理,Delay,positive
浦东机场站秩序很好，很安全 today,Safety,positive
陕西南路站等了很久还是没有车，请尽快处理,Delay,negative
虹桥火车站站电梯方便，无障碍体验很好 during rush hour,Accessibility,positive
浦东机场站广播太响，噪音很大，影响通勤体验,Noise,negative
四平路站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
陕西南路站今天客流正常 during rush hour,Other,neutral
大世界站秩序很好，很安全，影响通勤体验,Safety,positive
虹桥火车站站很干净，请尽快处理,Cleanliness,positive
Nanjing W. Rd had a serious delay this morning during rush hour,Delay,negative
